Name,Comment,Date
EDZ,"To be honest Iv'e stopped asking. As in July this year I was told my car was at status 20 and slowly moving along production line. Nearly six months later I'm told having trouble with paint finishso I personally take status codes with a pinch of salt. Sorry I don't wish to be a party pooper but I have as Iv'e said before had every excuse in the book why it has not yet arrived. All Iv'e ever wanted is honesty from the manufacturer, even the dealers are getting frustrated, they are obviously taking the flake by just passing on what they have been told.","December 24, 2022"
UKTrofeo,Well I’m trying to be optimistic. The dealer has had a number of GTs and Modenas delivered so are aware of the broad way that the production codes have progressed for cars that they have had delivered recently. If your car has reached production code 50f a while ago then certainly I would be less confident. Mine was on code 20 for months. I’m guessing that right hand drive Trofeos have been a bit of an issue for Maserati hence the delays. However a paint finish issue would affect Modenas and GTs as well. Mine is a different colour to yours. We will see if there are further delays pretty soon!!!,"December 24, 2022"
EDZ,"Unfortunately my optimism has been knocked several times, but I still smile and hold on to some hope that it will turn up soon. The Trefeo Primaserie is a specialist four coat colour finish under the fluorecie program (according to the price list I have a 15k extra) and not done on normal production line run as other colours listed. The car is pulled from line and painted else where apparently, so does not follow the same line production run schedule as all other cars, hence what I was told last update. As you say will be interesting to see what they say in the new year, my dealer is far more optimistic for the Q1 delivery but will no longer say he is confident. 🤣 All the best, and have a great Christmas.","December 24, 2022"
UKTrofeo,I’ve now been given a specific delivery date of 21 January. We shall see 😉,"January 5, 2023"
EDZ,"Pleased for you, better news as being given a specific date is far more promising 🤞 hope it all works out this time. Good luck and keep us all posted.","January 5, 2023"
UKTrofeo,"My dealer called with another update. The date has remained at 21 January and the production code has moved on to 85 which means the car has been completed, just undergoing final checks before being dispatched. My dealer said that their first Trofeo arrived this week and mine would be their second. I’m crossing my fingers!!","January 12, 2023"
EDZ,"Good newssounds very promising for you and you must be getting excited, not long now.","January 12, 2023"
UKTrofeo,My car has been dispatched by the factory. Arrival date at Uk dealer next Tuesday (hopefully),"January 18, 2023"
EDZ,"I had a similar phone call from my dealer a couple of days ago. Our cars maybe on the same transporter, I asked them to send a photo when it arrives and I will believe itguess I've had so many dates given and not met that I will only believe it when I see itBut positive news for us both","January 19, 2023"
jalough,Has anyone taken delivery in the US? Ideas on time once it is on the boat? Thanks!,"January 19, 2023"
Trident,"@edStook delivery of his Grecale, but his broke down on him.Total BreakdownWell Day 10 of ownership was eventful and definitely one of the most terrifying experiences of my life. My new Grecale totally completely shut down on the highway in Atlanta rush hour. I was blocking 2 lanes of traffic when it completely died after a pop/boom in the engine. Grecale owners let me...www.grecaleforum.com","January 19, 2023"
UKTrofeo,Mine arrived at the dealer today!!! 😀 Its currently being prepped for me to collect on Thursday..,"January 23, 2023"
EDZ,"Great news 🙂, been a long time coming. You must have a smile on your face from ear to ear 😊 Hope all goes well for your collection on Thursday and don't forget to post a couple of collection day pic's. 📸","January 23, 2023"
1stMaserati,Definitely post some pictures and your impressions!!!!!,"January 24, 2023"
1stMaserati,Sorry to hear@EDZ! As a consolation: I think it is worth the wait!,"January 25, 2023"
UKTrofeo,At last I’ve got it! Only driven it back from the dealer so far. But definitely a thumbs up! Will report more as I drive it. I like the special red detailing on the Trofeo and Maserati badges - matches the brake callipers and stitching.,"January 26, 2023"
1stMaserati,Excellent!!!!!! Enjoy.,"January 26, 2023"
EDZ,"CongratsStunning looking Trefeo, enjoy your new ride. 😎 I'm still waiting eleven months on 😕","January 26, 2023"
1stMaserati,@EDZyou day in the sun will come!!! What color is yrs again?And I forgot to say that yes I really like the blue and interior@UKTrofeo,"January 26, 2023"
EDZ,"Hi 1stMaseratiThe ironic and frustrating thing for me is and mentioned and qouted in other posts !!! I ordered a Trefeo Primaserie launch addition back in March 2022 just after Maserati's world wide launch of the Grecale. Maserati advertising such""Be the first to own before anyone else""Yet here I am 11 months on watching standard Trefeo's arriving in the UK over the last couple of months and GT and Modena's arriving since October 2022 and still no Trefeo Primaserie's arrived, also most of the cars that have arrived in the UK were ordered in or after July 2022. I'm currently waiting an update as to current position as yet another delivery date (which makes seven now) has not been met again this week. The actual colour is Giallo Corse in the Fuoriserie programe.RegardsEDZ","January 26, 2023"
UKTrofeo,The interior leather is much darker black but my phone made it look grey! Looks better in person and the red stitching pops.I’ve just had a 90 min drive-very impressed so far. Looking forward to pushing the nettuno a lot more,"January 26, 2023"
UKTrofeo,Yes it’s been a frustrating wait. I’ve just checked and I put my original deposit on the Grecale in January last year.,"January 26, 2023"
Tony Mac,Looks fabulous 👍👍,"January 27, 2023"
edit,hello everyone?did you get any discounts when you ordered the car?,"January 27, 2023"
EDZ,"Welcome to the forum edit.It's been virtually impossible to get discounts on any new cars for the last couple of years, due to supply and demand. Manufactures have been struggling to get parts linked with the semiconductor shortages and just can not produce the amount of cars required for the market. Add to this that the Grecale is a brand new model and orders are buoyant, they have no need to discount, plenty of customers in the queue. You may be lucky and get something thrown in but don't hold your breathI'm sure as the parts shortage and semi conductor issues slowly subside, linked with the current bad global economy figures, the rise in cost of living and energy costs, demand will ease and maybe a little discount will return, but not for a while yet. IMO, anyone that has got a discount would had been a very, very lucky customer or an employee of the dealer or manufactureGood luck.","January 27, 2023"
Tony Mac,"Collected our Grecale Modena today from Maserati Shirley, West Midlands, and very impressed with the car.Looks fabulous and Drives well - light precise steering, smooth gearbox, comfortable, great performance from the 2L engine.The technology / Sat nav / driving interface is quite daunting - but pretty straightforward once you get the basics and just start playing. The auto-dipping headlights are brilliant - just leave on High beam and they take care of themselves 👍Salesperson originally told us the Grecale didn’t have Seat position memory options - it does 👍Will post more info","January 27, 2023"
Tony Mac,,"January 27, 2023"
EDZ,"Tony Mac said:Collected our Grecale Modena today from Maserati Shirley, West Midlands, and very impressed with the car.Looks fabulous and Drives well - light precise steering, smooth gearbox, comfortable, great performance from the 2L engine.The technology / Sat nav / driving interface is quite daunting - but pretty straightforward once you get the basics and just start playing. The auto-dipping headlights are brilliant - just leave on High beam and they take care of themselves 👍Salesperson originally told us the Grecale didn’t have Seat position memory options - it does 👍Will post more infoClick to expand...Congrats Tony, another great looking carEnjoy your new ride","January 27, 2023"
elchiki,"EDZ said:Welcome to the forum edit.It's been virtually impossible to get discounts on any new cars for the last couple of years, due to supply and demand. Manufactures have been struggling to get parts linked with the semiconductor shortages and just can not produce the amount of cars required for the market. Add to this that the Grecale is a brand new model and orders are buoyant, they have no need to discount, plenty of customers in the queue. You may be lucky and get something thrown in but don't hold your breathI'm sure as the parts shortage and semi conductor issues slowly subside, linked with the current bad global economy figures, the rise in cost of living and energy costs, demand will ease and maybe a little discount will return, but not for a while yet. IMO, anyone that has got a discount would had been a very, very lucky customer or an employee of the dealer or manufactureGood luck.Click to expand...Yes, I am right now discussing seriouisly for the purchase of my Grecale and discount are between 10 and 13 %.( 100 % cash payment)","February 1, 2023"
Tony Mac,"Couldn’t negotiate a discount here in the UK, as the Grecale is only just being launched at most dealerships.Purchased ours cash - tried to negotiate but no discount - in fact they prefer Credit buyers as there’s more money in these sales.They included Rubber Boot Liner & Floor Matts & Tank of Petrol10% discount would have been fabulousTony","February 1, 2023"
elchiki,Yes I get right now between 10 % and 13 % in the course of the discussion,"February 1, 2023"
EDZ,"Agree with Tony above.You must fit in the catorgary of very, very lucky. But if your buying in Swizaland the starting price is around 30% dearer than UK list and less included. Also depends if it's MRP or dealer mark up price. If your being quoted 10% to 13% off MRP I would be grabbing that deal with both hands ASAP. Good luck.","February 2, 2023"
elchiki,"Really lucky ? Not at all ! do no forget that in Switzerland, the selling prices of these cars are 20 % higher than in Europe….so this is a normal slight adjustment 😂","February 2, 2023"
Tony Mac,That’s what you get for living in such a wonderful country with a low taxation economy 👍,"February 2, 2023"
EDZ,Then doing really simple man math's you would have to get at least 13% off to be any where near on par with UK prices as Swiss prices are more nearer 33% dearer.,"February 2, 2023"
edit,"You are tring to buy the Modena trim?Here in Romania the Modena starts at 72.900 euros plus 19% VAT, so 86.750 euros including VAT. I added some options and only got 3% as discount. As I said to them, I will not buy aat this level of discount.I can see in Switzerland the Modena trim starts at 97.250 CHF, so 98.360 Euros...but this is because the CHF is very strong this months. Normally it is 90% from the Euro","February 9, 2023"
EDZ,"Just had an update and apparently my Trefoe Primaserie is finally on it's way to the UK. Been a long time coming, and had seven delivery dates so far since September 2022 that have not been met. So will believe it 100% when it finally arrives at the dealers, which should be early next week. 🤞","February 15, 2023"
UKTrofeo,Great news!,"February 16, 2023"
TF007,Oh wow. That is great news! Believe me the wait will be worth it. A very great vehicle that will give you a lot of pleasure. Fingers crossed🤞🏻,"February 17, 2023"
vicster,Just got my Grecale Modena Primaserie on Feb 14 and received about 5% discount at my Canadian dealership with lots of extras.,"February 18, 2023"
EDZ,Welcome to the forum and congrats in getting your car.Always good and nice to see a few pics of the car when you get the opportunity to post.Enjot your new ride.,"February 19, 2023"
edit,I'm planning to pay the down payment next week also for a Modena.Did you got it from stock or it was your configuration?I'm curious about the waiting time,"February 19, 2023"
vicster,"I had it configured back in April last year. Delivery was supposed to be in October but I'm guessing they were still passing inspection to be approved for the road.My dealer had a few cancellations so buying from stock was possible. In fact, I ordered a white one and they were able to swap it for a black one configured the exact same way ✌","February 19, 2023"
edit,"Just payed today the deposit for a Grecale Modena nicely configured.The dealer said the estimated delivery time is 3 to 4 monthsbtw, in the contract I have a paragraph that is mentioning the price will be retroactive increased if the production cost will increase until my car will be delivered.Did you have something like this when ordering yours?","February 22, 2023"
Tony Mac,"Good choice editEarly January, when we started considering ordering a Grecale, the Dealer said it would be a 4 month wait and that they were expecting a Price rise in March. So taking delivery in April / May would be at the increased price.The Dealer had a Launch Event with New Stock Grecale's in the showroom - we bought a Modena and picked it up the following week","February 22, 2023"
EDZ,"Congrats on placing your order edit,hope your wait is not to long.Most manufacturers have that type of paragraph in the sales contract, actual price you pay as that quoted when your car actually goes into build. Dealers normally ask at that stage to increase your deposit to a full none refundable 10% of total cost of car, no increases normally after that point even if it takes a couple of more months to eventually arrive at dealers.","February 22, 2023"
1stMaserati,@EDZare you still waiting????? Any updates?,"February 22, 2023"
edit,"The same message I got here in Romania...there will be a price increase in March/April.Anyhow, I lost excatly 5 weeks because I asked for 5% discount, that finaly got it but with my time expence.Maybe I could escape the retroactive price increase from this spring if order was placed at the end of January.@Tony MacThe issue with the stock cars is all got 21 inch rimms and wanted only 20 inch as roads here are a complete mess sometimes.Also all have glass roof and didn't wanted as our plan is to keep the car over 10 years and all the cars with glass roof will be eventually 'flooded' after some years.The hook in the back was needed also (for some Thule device for bicicles) and none from the stock got it.The only real option for me was to order one in production and to wait.","February 22, 2023"
EDZ,"Hi 1st Maserati.Not Good News 😒To be honest I'm at my whits end and just about had enough now. The 8th Delivery date supposedly the beginning of this week never happened, no car arrived at the dealers, despite Maserati saying it had left the factory. My dealers are just as annoyed apparently and at a loose end as to what is actually going on. Iv'e been waiting over two days now for an update on current situation as is my dealer also, no response from Maserati as of yet. This really has gone beyond a joke now and is absolutely diabolical customer service and relations on Maserati's behalf, even my dealers are now lost for words as they can only inform me what Maserati tell them, and obviously what they have told me so far and the numerous delivery dates over the last six months has left them embarrassed and with much egg on their face. Time to look at other options out there now I think, there is only so much S--T, crap and lies one can take.","February 23, 2023"
EDZ,"Further to above. Just had an update. Maserati have reluctantly just informed my dealer that all Grecale's were held back at the factory and none were actually dispatched. Apparently they have a software issue and won't release any Grecale's until they have sorted the problem, as it has to be done manually to each car and can't be done over the air, (suggests different parts fix to me) So basically anyone out there waiting for a car from factory will have a delay (so I'm informed), no time scale for this has yet been given. Maserati are obviously playing cloak and dagger and keeping issues hidden as best they can, but obviously there is only a limited time they can hide things especially if no cars are being released from factory. The wait goes on 😠 and I also can't wait for the next excuse for none delivery of my car, Iv'e had so many, surely there can't be any left in the book to quote.","February 23, 2023"
Tony Mac,Shocking EDZ - I couldn’t have waited this long 😞,"February 23, 2023"
EDZ,"Hi TonyTo be honest if I had been told I would be waiting over a year for the car when ordering it, I may have looked else where then. The trouble is that Maserati have been playing me along, each time a delivery date arrives it's not met and I'm given another delivery date which is normally only a few weeks later, so I hold fire as most new cars at present are taking around six months. If we all had crystal balls I'm sure we would all do things differently, but life at present is so unpredictable. Do hope your car is going well and you are still enjoying it.All the best.","February 23, 2023"
Tony Mac,"You are stuck between a rock and a hard place, but I’m sure it will be truly worth the stress and frustration of waiting.In December 2022 we were considering a Mecan / Cayenne and the build wait was 12+ months.Still enjoying our Modena, only done 350 miles - no issues to report🤞","February 23, 2023"
EDZ,"Glad to hear your still enjoying your car Tony and all is going well.Yes my last few cars have taken 12+ months to arrive including my current Macan GTS, but I'm told that at the outset and they have pretty much arrived as told. The difference here is Maserati told me 6 months and I'm nearly a year (give or take a few weeks) in and still waiting, that's the frustrating part. If you are told delivery time when ordering you accept or reject that time and work to those times, give or take a month. Maserati have not been up front with information or kept me informed from the outset, diabolical customer service and relations and I thought Porsche were bad 🤣The best of this is: I had an email direct from Maserati back in July 2022 welcoming me to the family and informing me my car was in build and should be with me very soon 😱 from then on they went into hiding 👻","February 23, 2023"
edit,"@EDZI was thinking this morning regarding your situation.Maybe Maserati delivered the car actually and maybe your car has technical problems and in fact is in the dealer warehouse trying to fix it.If your car was at Maserati factory with some issues, it is impossible to not have the technical knowledge or resources to fix it. They are delivering cars on daily basis to all the corners of the world. So, what are the reason to not replace quarter of your car, if needed and to deliver the car, if the car is still at the factory?If your car is at the dealer and the dealer is lying to you, the repairs are more difficult via air at the dealer and always the dealer needing to have maserati mails and sugestions.If I was you, I will visit the dealer without telling him upfront and tell that you want to search the car in the back warehouse/garage to be sure that they are playing wright with you as the trust regarding them is lost. They have to demonstrate you this is the reality and they don't have the car in pieces somewhere. do not leave until you inspect the dealer and do not give them time to hide the car.My dealer told me they will deliver my Modena in 3-4 months calculating from the downpayment.","February 24, 2023"
EDZ,"edit said:@EDZI was thinking this morning regarding your situation.Maybe Maserati delivered the car actually and maybe your car has technical problems and in fact is in the dealer warehouse trying to fix it.If your car was at Maserati factory with some issues, it is impossible to not have the technical knowledge or resources to fix it. They are delivering cars on daily basis to all the corners of the world. So, what are the reason to not replace quarter of your car, if needed and to deliver the car, if the car is still at the factory?If your car is at the dealer and the dealer is lying to you, the repairs are more difficult via air at the dealer and always the dealer needing to have maserati mails and sugestions.If I was you, I will visit the dealer without telling him upfront and tell that you want to search the car in the back warehouse/garage to be sure that they are playing wright with you as the trust regarding them is lost. They have to demonstrate you this is the reality and they don't have the car in pieces somewhere. do not leave until you inspect the dealer and do not give them time to hide the car.My dealer told me they will deliver my Modena in 3-4 months calculating from the downpayment.Click to expand...Thank you for your thoughts and suggestion edit.I have already visited the dealers on a few occasions and the car is definitely not there. My dealers are part of a very large group and also very large in the USA and are the largest Maserati dealers in the UK with branches all over the country.Late yesterday I actually email Maserati direct in Italy to get honest clarification of what is actually going on with my car as my dealer is at a loss also. Iv'e had an acknowledgement receipt of same and will have to await what they finally reply, but will contact again early next week if not received.","February 24, 2023"
TF007,"Hello@EDZthis is simply shocking and unacceptable.We are talking about a car that has a worldwide delivery time of about 3 to maximal 4 months. At all dealers, moreover, the car is in stock. Here something runs completely wrong. Even if it should be because of your equipment variant, they must be able to name that and offer options. By the way, the current Macan GTS has a delivery time of 3 months again and in general, delivery times have dropped at all manufacturers.If they can't provide a very clear and logical explanation (which they haven't been able to do so far), then I would withdraw from the contract. Isn't there a right of rescission in the UK?As great as the Grecale is...I hope you find a good solution for you!Anyway, very sorry to hear all this.","February 24, 2023"
Tony Mac,"@EDZ- This post has just surfaced on the Forum. Might be worth asking a few questionsHello from Maserati CaresThe team at Maserati Cares appreciates the community cultivated here to discuss, troubleshoot, and of course brag on your own Maserati! As you continue to navigate forum conversation, know our team is always here to assist you. We exist to provide additional support as needed if desired. Our...www.grecaleforum.com","February 24, 2023"
EDZ,"TF007 said:Hello@EDZthis is simply shocking and unacceptable.We are talking about a car that has a worldwide delivery time of about 3 to maximal 4 months. At all dealers, moreover, the car is in stock. Here something runs completely wrong. Even if it should be because of your equipment variant, they must be able to name that and offer options. By the way, the current Macan GTS has a delivery time of 3 months again and in general, delivery times have dropped at all manufacturers.If they can't provide a very clear and logical explanation (which they haven't been able to do so far), then I would withdraw from the contract. Isn't there a right of rescission in the UK?As great as the Grecale is...I hope you find a good solution for you!Anyway, very sorry to hear all this.Click to expand...Thanks for your input TF007, appreciated.We do have the right of rescission in the UK. Depending on the reply to my email to Maserati next week I may be pushed in to that. be it reluctantly and a full refund of deposit is given.I think I have now been overly patient on this situation and been fed so much bulls--t things have come to a head.","February 25, 2023"
EDZ,"Tony Mac said:@EDZ- This post has just surfaced on the Forum. Might be worth asking a few questionsHello from Maserati CaresThe team at Maserati Cares appreciates the community cultivated here to discuss, troubleshoot, and of course brag on your own Maserati! As you continue to navigate forum conversation, know our team is always here to assist you. We exist to provide additional support as needed if desired. Our...www.grecaleforum.comClick to expand...Thanks for that Tony.Very interesting but could be useful for members in the future, I see they are USA based !!As I have already contacted Maserati direct in Italy, things should had already been noted, Iv'e had an acknowledgement of my email and I'm awaiting their follow up reply.","February 25, 2023"
EDZ,"Interesting turn of events !!Iv'e just been contacted by my dealer principal. Apparently Maserati contacted them yesterday and have ask for all information on my purchase and told them that they (Maserati) are taking over my sale and I am to address and deal with them directly, Maserati will be contacting me next week apparently. This is as he said, something that they have never seen or heard of before and he is very interested in knowing the outcome. So it sounds like I'm either going to get the information required or they will tell me to sling my hook 🤔 but hopefully I get honest up front information with regards to the situation at least.","February 25, 2023"
TF007,"@EDZVery good! Sounds to me like they've caught on the urgency.This should have happened sooner, of course, but if they can actually shed light on it now and straighten out the situation, Chapeau!Fingers crossed.","February 26, 2023"
Dai Uy Ted,"I ordered a GT today, from Harper Maserati in Knoxville TN. Blue/gray; 20"" wheels w/blue calipers; open pore radica wood trim & ambient lighting; premium pkg; ass't pkg 1; tech pkg (HUD & wireless charger).Dealer could not guess at delivery date. I'll make due in the meanwhile with my Stelvio & Mustang...","February 28, 2023"
EDZ,"Congrats on your order, sounds a nice spec. Hope the wait not too long for you, but I'm sure the Stelvio & Mustang will keep you going.","February 28, 2023"
jalough,"@EDZ, I feel your pain. I originally ordered a Shelby GT500 in Nov 21 for the 22 model, and was assured I would receive the first allocation. By June (and 2 allocations given out) I realized I would not be getting my car despite dealer protestations, so I preordered the Modena tooLike you, was told October delivery and it has continued to be pushed out... rumor has it maybe this week finally 🤞 (I sold my car to Ford dealer as commitment to the order in late summer 21)Sounds like Maserati is more responsive to their customers, so fingers crossed for you!!I will say, my dealer has gone above and beyond to help compensate... I have had a loaner since mid-December when they realized it wasn't going to be here before the end of the year.","March 1, 2023"
EDZ,"jalough said:@EDZ, I feel your pain. I originally ordered a Shelby GT500 in Nov 21 for the 22 model, and was assured I would receive the first allocation. By June (and 2 allocations given out) I realized I would not be getting my car despite dealer protestations, so I preordered the Modena tooLike you, was told October delivery and it has continued to be pushed out... rumor has it maybe this week finally 🤞 (I sold my car to Ford dealer as commitment to the order in late summer 21)Sounds like Maserati is more responsive to their customers, so fingers crossed for you!!I will say, my dealer has gone above and beyond to help compensate... I have had a loaner since mid-December when they realized it wasn't going to be here before the end of the year.Click to expand...Thanks jalough.I too have had good service from my dealer and have now found out that it is in fact Maserati that are not responsive and all my dealer has been doing is passing on what information they get from them.Been waiting a week now for a response to my email and Maserati to contact me. Iv'e had an acknowledgement email of them receiving mine last Friday, and contact from my dealer that they (Maserati) would contact me at the start of this week, I'm still waiting on that contact as I said a week on now. 😟","March 2, 2023"
Tony Mac,@EDZ- Dare I ask if you’ve had an update?,"March 6, 2023"
EDZ,"Hi Tony.No news whatsoever, I'm actually stuck for words. No further on than I was 12 days ago with my email to them and we are now a year on in total, diabolical situation. 😌","March 7, 2023"
Tony Mac,Disgraceful - What a Mess 😳,"March 7, 2023"
edit,Could be your car was delivered by Maserati and it is lost/stolen during the transport and nobody knows really where your car is?,"March 7, 2023"
EDZ,"That did actually make me smile for the first time about this situation, thanks editTime for us all to have a guess as to where it is, as no information is coming from Maserati as I don't think they know either. Perhaps our idears will give them clues as to where to look as they are obviously stuck.","March 7, 2023"
1stMaserati,"That is really heartbreaking to read@EDZ. Just as Maserati is getting great press and Stelantis looks like really re-polishing the brand (look at the Granturismo) and trying to push itself into the space where others have been so successful (i.e. Porsche and the Macan), it is simply mind boggling that situations like this (no one can track your primaserie order?????) can happen.If the entire customer experience sucks, then the brand suffers.Pure speculation, but maybe things with the UK dealer and Maserati Italy are not as good as they appear and that is the root cause? So there is a problem that you are not seeing or privy to. What is weird is that you had several promises of delivery with a date. Either this was the dealer plucking it out of thin air to placate you or how else can that be explained. Can you “demand“ a VIN number and ask if the car has even been built?Hope this resolves itself soon!","March 7, 2023"
