Username,Comment
windmill,"Hoggy said:



Just looking for 99 other satisfied Q5 owners like Zara!








Click to expand...

Hoggy, I've got to agree with Zara here having had no faults whatsover with the car.
Having said that it's only a month since I've taken delivery of it so there's plenty of time and miles for things to go wrong.
Apart from the fact that Audi failed to fit the B&O speakers I'd specced along with the curious way it has of moving away from stationary everything else seems pretty well screwed together.
The only issue I have is that driving it is a very bland experience..."
nsm3,"I agree with Zara even though I've not got one yet.....I just searched the internet and struggled to find very much reported on there.

I did find something about the Q5 though which may be linked to a couple of recent posts about vibration.........

QUOTE.....Hi my name is XXX. XX% of vibration problems while driving are tire induced. Most common problems come from tire rubber compounds and subjective situations. Like how long the vehicle sits.

Your tires are a blend of a relatively soft rubber compound (for more grip) and a more aggressive tread pattern (for traction) and are more susceptible to becoming out of round (shaped like an egg). Bridgestone is one of the manufacturers that we have more tire oscillation then others. Audi will require that all the tires be road force balanced and the entire vehicle be inspected before they even consider looking at tire replacement. Which they almost never do.

Audi has a 9 page bulletin that describes how tires go out of round and how it is normal.

It will depend on how many miles you have on your current tires.

To answer your question, YES. There are some, not many, complaints about tire vibration with Bridgestone Dueler H/P's.

Thank you XXX XXXXXXXX Just Answer,

Joe.

Expert: JOE AUDI 
Pos. Feedback

Read more: http://www.justanswer.com/questions/355ud-do-experience-vibration-problems-on-my-audi-q5-fitted-with#ixzz0qYUXD9wY"
Rahoo,"2010 Daytona Grey 3.0 Tdi S line. Running on 19"" Pirelli Scorpion Verde All Season tyres"
barry,"Josh said:



I agree with Zara even though I've not got one yet.....I just searched the internet and struggled to find very much reported on there.

I did find something about the Q5 though which may be linked to a couple of recent posts about vibration.........

QUOTE.....Hi my name is XXX. XX% of vibration problems while driving are tire induced. Most common problems come from tire rubber compounds and subjective situations. Like how long the vehicle sits.

Your tires are a blend of a relatively soft rubber compound (for more grip) and a more aggressive tread pattern (for traction) and are more susceptible to becoming out of round (shaped like an egg). Bridgestone is one of the manufacturers that we have more tire oscillation then others. Audi will require that all the tires be road force balanced and the entire vehicle be inspected before they even consider looking at tire replacement. Which they almost never do.

Audi has a 9 page bulletin that describes how tires go out of round and how it is normal.

It will depend on how many miles you have on your current tires.

To answer your question, YES. There are some, not many, complaints about tire vibration with Bridgestone Dueler H/P's.

Thank you XXX XXXXXXXX Just Answer,

Joe.

Expert: JOE AUDI 
Pos. Feedback

Read more: http://www.justanswer.com/questions/355ud-do-experience-vibration-problems-on-my-audi-q5-fitted-with#ixzz0qYUXD9wY

Click to expand...

Wow sounds like a reply from Audi marketing department!!!"
Kaine,"No complaints about mine so far (1500 miles) - it seems very well put together to me? I will of course be the first to moan if that changes, but that is what warranty is for?

As to it being a bland drive, well it is an SUV after all and I assume everyone test drives before buying? My other daily drive is a Lotus, so plenty of differences (pretty much the other end of the car spectrum), but I still enjoy cruising about in the Q5."
CrustyNoodle,"2012 2.0TDi (170) S-line Plus, S-tronic, Moonlight Blue, 20"" 5 Spoke Wheels, Open Sky Roof, Electric Tailgate, Parking Plus, Electric Memory Seats/Mirrors, Towbar, Bang & Olufsen, AMI, SatNav (DVD), Hill Hold Assist, Heated Front Seats, Illumination Package, Tyre Pressure Monitoring, Rear Bench Seat Plus, Load Safety Net, Rubber Mats and Reversible Boot Liner"
Warburton62,"I had one of the first in March 2009 !!!! and the only problems I had was the trim on the speaker on the dash and a faulty electric tailgate, and thats 15 months worth of problems !!!!!"
MikeW,"Finally delivered March 2009 !....Q5 2.0 TSFi S-line, Lava Grey, Tech Pack, Blinds, Privacy Glass, Rear Camera, Electric Mirrors, Black Alcantara..life shine.."
petesnap,"Had my q5 since January, so its had the snow, ice, heat and pouring rain on it so far and have not had a single problem whatsoever.
Its my third audi now and i've not had a single problem with any of them.

Have to agree that it is not exactly the most responsive car i've ever driven, but for cruising around and taking it easy i find it a relaxing drive and also very quiet. I suppose if you were after a 'thrilling ride' then you wouldn't be buying an SUV."
windmill,"these are great threads - thanks for starting it Hoggy

Forums are known hubs to discuss problems - this is what makes them so useful to everyone who joins - not only does it help you resolve a problem you already have, it helps you recognise what is 'a problem' and not a 'characteristic' as Josh mentioned. I think without www.rrsport.co.uk many RRS owners would be fobbed off with the 'suspension knocking noise on the RRS' as a characteristic - as it happens there is a massive amount of info on the problem and the fix - most members print of the forum posts to enable them to discuss with LR dealer Service departments.

The Q5 is going to have problems, however so far I've not noticed a common theme (unless I'm missing something) - this is a good sign really. Of course the niggle/problem is a pain for the owner, but at least we know every car of the production line doesn't have it. When the Touareg was launched they had major issues with tracking alignment meaning most people struggled to get to 10k on the first set of tyres (me included) - it took some time to get it resolved.

I'm sure we'll return to this topic periodically, however so far to me the Q5 reliability is looking good

Kaine"
